name,university,link,scholarid
Shimei Pan,Univ. of Maryland - Baltimore County,https://nlp-lab.umbc.edu/home/shimei,HUpnUScAAAAJ
Tejas Gokhale,Univ. of Maryland - Baltimore County,https://www.tejasgokhale.com,_ILTlEwAAAAJ
Tim Finin,Univ. of Maryland - Baltimore County,http://umbc.edu/~finin,p5oWQ0AAAAAJ
Tim Oates 0001,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/tim-oates,NOSCHOLARPAGE
Timothy Oates 0001,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/tim-oates,NOSCHOLARPAGE
Timothy W. Finin,Univ. of Maryland - Baltimore County,http://umbc.edu/~finin,p5oWQ0AAAAAJ
Ting-Zhu Huang,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~zt,H7El-ZkAAAAJ
Tingzhu Huang,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~zt,H7El-ZkAAAAJ
Tinoosh Mohsenin,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~tinoosh,9grfK9gAAAAJ
Tülay Adali,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adali,KgjUnawAAAAJ
Yaacov Yesha,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/yaacov-yesha,NOSCHOLARPAGE
Yelena Yesha,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/people/faculty/yelena-yesha,3aj4AM4AAAAJ
